,Names,Prices,Rates,Images,Links
0,"realme C33 (Sandy Gold, 32 GB)","₹8,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70,https://www.flipkart.com/realme-c33-sandy-gold-32-gb/p/itma112335dbe78a?pid=MOBGHBJGF9QZYSZX&lid=LSTMOBGHBJGF9QZYSZXROLVZH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJGF9QZYSZX.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
1,"realme C33 (Sandy Gold, 64 GB)","₹9,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/o/s/-original-imaghuf9mryjhf3m.jpeg?q=70,https://www.flipkart.com/realme-c33-sandy-gold-64-gb/p/itma112335dbe78a?pid=MOBGHBJG8NWDGK6T&lid=LSTMOBGHBJG8NWDGK6TYTLTOF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJG8NWDGK6T.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
2,"realme C33 (Night Sea, 64 GB)","₹9,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/n/j/-original-imaghuf9vphhbnkc.jpeg?q=70,https://www.flipkart.com/realme-c33-night-sea-64-gb/p/itma112335dbe78a?pid=MOBGHBJGZ3GYDFD2&lid=LSTMOBGHBJGZ3GYDFD2UJE1AM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJGZ3GYDFD2.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
3,"realme C33 (Night Sea, 32 GB)","₹8,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/n/j/-original-imaghuf9vphhbnkc.jpeg?q=70,https://www.flipkart.com/realme-c33-night-sea-32-gb/p/itma112335dbe78a?pid=MOBGHBJGGVPHHTYQ&lid=LSTMOBGHBJGGVPHHTYQPKXLM2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJGGVPHHTYQ.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
4,"realme C33 (Aqua Blue, 32 GB)","₹8,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70,https://www.flipkart.com/realme-c33-aqua-blue-32-gb/p/itma112335dbe78a?pid=MOBGHBJGFKM7MNQH&lid=LSTMOBGHBJGFKM7MNQHMLW6ZM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJGFKM7MNQH.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
5,"realme C33 (Aqua Blue, 64 GB)","₹9,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/z/o/-original-imaghuf9guqmb65z.jpeg?q=70,https://www.flipkart.com/realme-c33-aqua-blue-64-gb/p/itma112335dbe78a?pid=MOBGHBJG3M6FB35G&lid=LSTMOBGHBJG3M6FB35GOCB4ZL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGHBJG3M6FB35G.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
6,"realme C55 (Rainy Night, 64 GB)","₹11,999",4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/y/7/-original-imagzbs5gjxey4wy.jpeg?q=70,https://www.flipkart.com/realme-c55-rainy-night-64-gb/p/itm054283d14c56e?pid=MOBGNBYJVHS63AAY&lid=LSTMOBGNBYJVHS63AAY2TVRIY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGNBYJVHS63AAY.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
7,"realme C30 (Bamboo Green, 32 GB)","₹5,999",4.2,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/p/h/p/-original-imagfggryyzyvhgw.jpeg?q=70,https://www.flipkart.com/realme-c30-bamboo-green-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G7FRK8FBJ&lid=LSTMOBGF37G7FRK8FBJLNLFYW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGF37G7FRK8FBJ.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
8,"realme C30 (Lake Blue, 32 GB)","₹5,999",4.2,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/4/8/h/-original-imagfggrvjdqsrtx.jpeg?q=70,https://www.flipkart.com/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GTRVMRJVK&lid=LSTMOBGF37GTRVMRJVKRYAJNG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGF37GTRVMRJVK.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
9,"realme C30 (Denim Black, 32 GB)","₹5,999",4.2,https://rukminim1.flixcart.com/image/312/312/l4ln8nk0/mobile/f/6/a/-original-imagfggrbywzk8r6.jpeg?q=70,https://www.flipkart.com/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G8TGKHFWJ&lid=LSTMOBGF37G8TGKHFWJIST95C&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_10&otracker=clp_metro_expandable_1_5.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=55bb0da8-fe40-48f0-8981-ca41d716787b.MOBGF37G8TGKHFWJ.SEARCH&ppt=None&ppn=None&ssid=8bsbxnc9000000001681052959521
